#solver	iter	latency-throughput
		1. : 0.119140987917
		2. : 0.200707364352
		3. : 0.300795979885
		4. : 0.415691982786
		5. : 0.505406797192
		6. : 0.576438084033
		7. : 0.607634557828
		8. : 0.620088852602
		9. : 0.627422344429
		10. : 0.634153952599
		11. : 0.635287444563
semimcfksp	6	
		1. : 0.125990052001
		2. : 0.19896851106
		3. : 0.309194542692
		4. : 0.395549958859
		5. : 0.489393207626
		6. : 0.559034310567
		7. : 0.594684859514
		8. : 0.61391449463
		9. : 0.621797772791
		10. : 0.634916043533
		11. : 0.635139464399
semimcfksp	7	
		1. : 0.121684142532
		2. : 0.218554111035
		3. : 0.327543603397
		4. : 0.400513399093
		5. : 0.500179086607
		6. : 0.565010833906
		7. : 0.612742059056
		8. : 0.626361746655
		9. : 0.632724731732
		10. : 0.632915474818
		11. : 0.632915474818
semimcfksp	8	
		1. : 0.135457303041
		2. : 0.238041326233
		3. : 0.356741124429
		4. : 0.434044995442
		5. : 0.51036542432
		6. : 0.55787340171
		7. : 0.580608035717
		8. : 0.625163281074
		9. : 0.635743012814
		10. : 0.643307158846
		11. : 0.643532973968
semimcfksp	9	
		1. : 0.12372606447
		2. : 0.213873365836
		3. : 0.310423431196
		4. : 0.405450102823
		5. : 0.519937907479
		6. : 0.586506285321
		7. : 0.604113326954
		8. : 0.627568036553
		9. : 0.634159097848
		10. : 0.635920286659
		11. : 0.6369515373
semimcfmcf	0	
		1. : 0.218979806024
		2. : 0.397530098774
		3. : 0.497719534195
		4. : 0.555866559819
		5. : 0.654927142485
		6. : 0.759678771428
		7. : 0.840322116396
		8. : 0.872662974389
semimcfmcf	1	
		1. : 0.215397178762
		2. : 0.395630382326
		3. : 0.491577458133
		4. : 0.550073293645
		5. : 0.650629431255
		6. : 0.757724913904
		7. : 0.836908988524
		8. : 0.871880933989
semimcfmcf	2	
		1. : 0.154487064102
		2. : 0.249005581284
		3. : 0.32430226981
		4. : 0.392219117764
		5. : 0.466030570336
		6. : 0.538854678411
		7. : 0.58290676479
		8. : 0.605596677619
		9. : 0.616717376264
semimcfmcf	3	
		1. : 0.129452145456
		2. : 0.197836380852
		3. : 0.266406168639
		4. : 0.347969557143
		5. : 0.414934458979
		6. : 0.478784764471
		7. : 0.52421254526
		8. : 0.561396225887
		9. : 0.583080403637
semimcfmcf	4	
		1. : 0.132554767514
		2. : 0.200837432251
		3. : 0.272875147955
		4. : 0.359549276739
		5. : 0.428126427577
