#solver	iter	latency-throughput
		6. : 0.802844457699
		7. : 0.825289390792
		8. : 0.825289390792
semimcfvlb	0	
		1. : 0.209639722294
		2. : 0.468776655049
		3. : 0.64822695443
		4. : 0.889946359655
		5. : 0.969136550395
		6. : 0.997613789505
		7. : 0.997613789505
		8. : 0.998118836906
		9. : 1.
		10. : 1.
semimcfvlb	1	
		1. : 0.23156571658
		2. : 0.438490735324
		3. : 0.628795952627
		4. : 0.831171208588
		5. : 0.933120486506
		6. : 0.97810960181
		7. : 0.987937643308
		8. : 1.
		9. : 1.
		10. : 1.
semimcfvlb	2	
		1. : 0.19264013362
		2. : 0.367890892869
		3. : 0.531412517784
		4. : 0.684066480485
		5. : 0.790953139261
		6. : 0.817856090114
		7. : 0.818390569919
		8. : 0.81859474596
		9. : 0.819347308644
		10. : 0.819347308644
semimcfvlb	3	
		1. : 0.198240983341
		2. : 0.36722911756
		3. : 0.522429997174
		4. : 0.682146397644
		5. : 0.779898234457
		6. : 0.808982628748
		7. : 0.810564688347
		8. : 0.810776675542
		9. : 0.813426504823
		10. : 0.813426504823
semimcfvlb	4	
		1. : 0.190518809513
		2. : 0.366686103606
		3. : 0.529876087001
		4. : 0.708385324971
		5. : 0.797769586738
		6. : 0.821779943846
		7. : 0.822753984144
		8. : 0.822956897223
		9. : 0.825477985614
		10. : 0.825477985614
semimcfvlb	5	
		1. : 0.19596788778
		2. : 0.371223603828
		3. : 0.539257472856
		4. : 0.70429083577
		5. : 0.801618913628
		6. : 0.830495570032
		7. : 0.832004672407
		8. : 0.832080577799
		9. : 0.832388298083
		10. : 0.832388298083
semimcfvlb	6	
		1. : 0.195948755011
		2. : 0.378410307119
		3. : 0.5609163064
		4. : 0.704087604365
		5. : 0.804436092686
		6. : 0.824261686894
		7. : 0.82598745262
		8. : 0.827043706767
		9. : 0.827043706767
		10. : 0.827043706767
semimcfvlb	7	
		1. : 0.196854114301
		2. : 0.370946455648
		3. : 0.544750658566
		4. : 0.686439752898
		5. : 0.807225808825
		6. : 0.828088193758
		7. : 0.829457577939
		8. : 0.836455638014
		9. : 0.836751289797
		10. : 0.836751289797
semimcfvlb	8	
		1. : 0.193789858962
		2. : 0.392544644162
		3. : 0.557827008128
		4. : 0.697532926934
		5. : 0.798152472313
		6. : 0.826735005483
		7. : 0.830109437135
		8. : 0.830335298012
		9. : 0.830956328522
		10. : 0.830956328522
semimcfvlb	9	
		1. : 0.196161466781
		2. : 0.380092370409
		3. : 0.540448208644
		4. : 0.704096086973
		5. : 0.805525501277
		6. : 0.830796166428
		7. : 0.832604205993
		8. : 0.83283901627
		9. : 0.833822344956
		10. : 0.833822344956
spf	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
spf	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801516574825
		4. : 0.95144250059
		5. : 0.999830325014
spf	2	
		1. : 0.225446459961
		2. : 0.461092663827
		3. : 0.569744694565
		4. : 0.647988286203
		5. : 0.674105444438
spf	3	
		1. : 0.229918779481
		2. : 0.466993199097
		3. : 0.56874569993
		4. : 0.647787806204
		5. : 0.674573987801
spf	4	
		1. : 0.230040750372
		2. : 0.471999235228
		3. : 0.576005694322
		4. : 0.656289474387
		5. : 0.683006448369
spf	5	
		1. : 0.230435538112
		2. : 0.470040636989
		3. : 0.580900405686
		4. : 0.656722505478
		5. : 0.682880901872
spf	6	
		1. : 0.229842201998
		2. : 0.475530276148
		3. : 0.591758701088
		4. : 0.669121895278
		5. : 0.693238192387
spf	7	
		1. : 0.230672638145
		2. : 0.47252984508
