#solver	iter	latency-throughput
		1. : 0.18966076482
		2. : 0.36852172992
		3. : 0.530365106534
		4. : 0.694146370062
		5. : 0.812836880848
		6. : 0.890296359642
		7. : 0.897143796671
		8. : 0.902655760672
		9. : 0.902879719106
		10. : 0.902879719106
		11. : 0.904572010128
semimcfvlb	3	
		1. : 0.192896220162
		2. : 0.33785064235
		3. : 0.491805045024
		4. : 0.667020061914
		5. : 0.816197403061
		6. : 0.90866731716
		7. : 0.92609949317
		8. : 0.928262265463
		9. : 0.928650281114
		10. : 0.92913316418
		11. : 0.92995676574
semimcfvlb	4	
		1. : 0.196506548805
		2. : 0.350497068949
		3. : 0.516400716394
		4. : 0.683548357028
		5. : 0.815966257638
		6. : 0.923439903073
		7. : 0.928021881632
		8. : 0.933694525297
		9. : 0.935185416644
		10. : 0.937391799032
semimcfvlb	5	
		1. : 0.190497697576
		2. : 0.339208645286
		3. : 0.517028882076
		4. : 0.676027076869
		5. : 0.830346528451
		6. : 0.942338821294
		7. : 0.955192781537
		8. : 0.955375515329
		9. : 0.956175489453
		10. : 0.957074623888
semimcfvlb	6	
		1. : 0.187092123151
		2. : 0.34505394965
		3. : 0.542354595648
		4. : 0.686936592907
		5. : 0.829389137316
		6. : 0.933731937874
		7. : 0.951440573446
		8. : 0.958129723825
		9. : 0.95877209212
		10. : 0.959308302199
semimcfvlb	7	
		1. : 0.198086179137
		2. : 0.362186234828
		3. : 0.543033733284
		4. : 0.708297758924
		5. : 0.853524974794
		6. : 0.937324380624
		7. : 0.956077838007
		8. : 0.962469074604
		9. : 0.963548467309
		10. : 0.963548467309
		11. : 0.964152604218
semimcfvlb	8	
		1. : 0.185891734753
		2. : 0.342996577199
		3. : 0.531247779742
		4. : 0.697203903772
		5. : 0.841011037511
		6. : 0.942746737405
		7. : 0.956403364901
		8. : 0.961847347173
		9. : 0.962533851172
		10. : 0.964288824201
		11. : 0.964288824201
semimcfvlb	9	
		1. : 0.19289146658
		2. : 0.358108828123
		3. : 0.531523635218
		4. : 0.705030100138
		5. : 0.83456071697
		6. : 0.932754047956
		7. : 0.949585213245
		8. : 0.953869567203
		9. : 0.954085997537
		10. : 0.954569316818
		11. : 0.955175176569
spf	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
spf	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801686249811
		4. : 0.951612175575
		5. : 1.
spf	2	
		1. : 0.221388762922
		2. : 0.444258318533
		3. : 0.597434966123
