#solver	iter	latency-throughput
		2. : 0.31001851276
		3. : 0.431964762539
		4. : 0.57056503
		5. : 0.70633773814
		6. : 0.829443130297
		7. : 0.832643984998
vlb	4	
		1. : 0.230949131136
		2. : 0.307393470868
		3. : 0.448062216411
		4. : 0.606744415137
		5. : 0.732334493594
		6. : 0.782317826927
		7. : 0.810145994315
		8. : 0.830645994315
vlb	5	
		1. : 0.220902245113
		2. : 0.297322045084
		3. : 0.423315604514
		4. : 0.621955759743
		5. : 0.768028777305
		6. : 0.821078777305
		7. : 0.884571084997
		8. : 0.917380608807
		11. : 0.919761561188
vlb	6	
		1. : 0.211991912198
		2. : 0.292828713938
		3. : 0.475417955869
		4. : 0.632032969096
		5. : 0.773385695999
		6. : 0.868360695999
vlb	7	
		1. : 0.222125351092
		2. : 0.293247036698
		3. : 0.449284385205
		4. : 0.609243586768
		5. : 0.743692276966
		6. : 0.819933036207
vlb	8	
		1. : 0.228029184797
		2. : 0.304942952657
		3. : 0.446154030588
		4. : 0.645571785414
		5. : 0.773523340438
		6. : 0.820169805084
		7. : 0.881541017206
		8. : 0.919541017206
vlb	9	
		1. : 0.224976630435
		2. : 0.295626599488
		3. : 0.427695792322
		4. : 0.598347099512
		5. : 0.768616769033
		6. : 0.850430745906
		7. : 0.872150442876
		8. : 0.911241351966

