# solver	iter	mean-congestion	stddev
akraeke	56	0.004594	0.000000
akraeke	57	0.004657	0.000000
akraeke	58	0.004713	0.000000
akraeke	59	0.004710	0.000000
akraeke	60	0.004552	0.000000
akraeke	61	0.004540	0.000000
akraeke	62	0.004627	0.000000
akraeke	63	0.004588	0.000000
akraeke	64	0.004732	0.000000
akraeke	65	0.004616	0.000000
akraeke	66	0.004595	0.000000
akraeke	67	0.004768	0.000000
akraeke	68	0.004664	0.000000
akraeke	69	0.004476	0.000000
akraeke	70	0.004722	0.000000
akraeke	71	0.004874	0.000000
akraeke	72	0.004687	0.000000
akraeke	73	0.004854	0.000000
akraeke	74	0.004814	0.000000
akraeke	75	0.004575	0.000000
akraeke	76	0.004808	0.000000
akraeke	77	0.004903	0.000000
akraeke	78	0.004250	0.000000
akraeke	79	0.004436	0.000000
akraeke	80	0.004651	0.000000
akraeke	81	0.004795	0.000000
akraeke	82	0.004928	0.000000
akraeke	83	0.004721	0.000000
akraeke	84	0.004384	0.000000
akraeke	85	0.004666	0.000000
akraeke	86	0.004916	0.000000
akraeke	87	0.004777	0.000000
akraeke	88	0.005095	0.000000
akraeke	89	0.004916	0.000000
akraeke	90	0.004836	0.000000
akraeke	91	0.005011	0.000000
akraeke	92	0.004851	0.000000
akraeke	93	0.004679	0.000000
akraeke	94	0.004836	0.000000
akraeke	95	0.004857	0.000000
akraeke	96	0.004675	0.000000
akraeke	97	0.004935	0.000000
akraeke	98	0.004935	0.000000
akraeke	99	0.005155	0.000000
akvlb	0	0.002501	0.000000
akvlb	1	0.002518	0.000000
akvlb	2	0.002722	0.000000
akvlb	3	0.002537	0.000000
akvlb	4	0.002808	0.000000
akvlb	5	0.002734	0.000000
akvlb	6	0.002361	0.000000
akvlb	7	0.002328	0.000000
akvlb	8	0.002595	0.000000
akvlb	9	0.002614	0.000000
akvlb	10	0.002767	0.000000
akvlb	11	0.002539	0.000000
akvlb	12	0.002392	0.000000
akvlb	13	0.002459	0.000000
akvlb	14	0.002490	0.000000
akvlb	15	0.002527	0.000000
akvlb	16	0.002662	0.000000
akvlb	17	0.002475	0.000000
akvlb	18	0.002391	0.000000
akvlb	19	0.002472	0.000000
akvlb	20	0.002670	0.000000
akvlb	21	0.002605	0.000000
akvlb	22	0.002711	0.000000
akvlb	23	0.002604	0.000000
akvlb	24	0.002581	0.000000
akvlb	25	0.002650	0.000000
akvlb	26	0.002517	0.000000
akvlb	27	0.002461	0.000000
akvlb	28	0.002704	0.000000
akvlb	29	0.002571	0.000000
akvlb	30	0.002429	0.000000
akvlb	31	0.002479	0.000000
akvlb	32	0.002689	0.000000
akvlb	33	0.002448	0.000000
akvlb	34	0.002747	0.000000
akvlb	35	0.002759	0.000000
akvlb	36	0.002679	0.000000
akvlb	37	0.002712	0.000000
akvlb	38	0.002766	0.000000
akvlb	39	0.002762	0.000000
akvlb	40	0.002994	0.000000
akvlb	41	0.002916	0.000000
akvlb	42	0.002905	0.000000
akvlb	43	0.002983	0.000000
akvlb	44	0.003187	0.000000
akvlb	45	0.003179	0.000000
akvlb	46	0.003412	0.000000
akvlb	47	0.003194	0.000000
akvlb	48	0.002996	0.000000
akvlb	49	0.003090	0.000000
akvlb	50	0.003252	0.000000
akvlb	51	0.003390	0.000000
akvlb	52	0.003726	0.000000
akvlb	53	0.003527	0.000000
akvlb	54	0.003218	0.000000
akvlb	55	0.003403	0.000000
akvlb	56	0.003719	0.000000
akvlb	57	0.003767	0.000000
akvlb	58	0.003815	0.000000
akvlb	59	0.003811	0.000000
akvlb	60	0.003682	0.000000
akvlb	61	0.003673	0.000000
akvlb	62	0.003746	0.000000
akvlb	63	0.003710	0.000000
akvlb	64	0.003824	0.000000
akvlb	65	0.003726	0.000000
akvlb	66	0.003712	0.000000
akvlb	67	0.003851	0.000000
akvlb	68	0.003768	0.000000
akvlb	69	0.003621	0.000000
akvlb	70	0.003820	0.000000
akvlb	71	0.003946	0.000000
akvlb	72	0.003795	0.000000
akvlb	73	0.003926	0.000000
akvlb	74	0.003894	0.000000
akvlb	75	0.003702	0.000000
akvlb	76	0.003887	0.000000
akvlb	77	0.003964	0.000000
akvlb	78	0.003436	0.000000
akvlb	79	0.003585	0.000000
akvlb	80	0.003765	0.000000
akvlb	81	0.003880	0.000000
akvlb	82	0.003989	0.000000
akvlb	83	0.003820	0.000000
akvlb	84	0.003545	0.000000
akvlb	85	0.003779	0.000000
akvlb	86	0.003975	0.000000
akvlb	87	0.003863	0.000000
akvlb	88	0.004127	0.000000
akvlb	89	0.003979	0.000000
akvlb	90	0.003918	0.000000
akvlb	91	0.004058	0.000000
akvlb	92	0.003929	0.000000
akvlb	93	0.003791	0.000000
akvlb	94	0.003917	0.000000
akvlb	95	0.003933	0.000000
akvlb	96	0.003775	0.000000
akvlb	97	0.003982	0.000000
