#solver	iter	latency-throughput
		10. : 0.616529432874
vlb	6	
		1. : 0.167480237824
		2. : 0.310910649551
		3. : 0.44353239568
		4. : 0.548270238437
		5. : 0.606557765301
		6. : 0.632310249254
		7. : 0.633900098228
		8. : 0.634079456398
		9. : 0.634594836373
vlb	7	
		1. : 0.166318122699
		2. : 0.299715695737
		3. : 0.429111718563
		4. : 0.539480841799
		5. : 0.594292454462
		6. : 0.620744039835
		7. : 0.622635726237
		8. : 0.622843973635
		9. : 0.622956166297
vlb	8	
		1. : 0.167792596692
		2. : 0.300223025845
		3. : 0.429487228073
		4. : 0.541841931365
		5. : 0.598406116213
		6. : 0.623365592823
		7. : 0.624530329904
		8. : 0.626658222595
		9. : 0.627149950709
vlb	9	
		1. : 0.162855398095
		2. : 0.291788725093
		3. : 0.412476773932
		4. : 0.523063755428
		5. : 0.586439328036
		6. : 0.601937802517
		7. : 0.602963866325
		8. : 0.603340128495
		9. : 0.604012045563

