#solver	iter	latency-throughput
		1. : 0.228109079529
		2. : 0.476933587766
		3. : 0.60359638887
		4. : 0.760428667803
		5. : 0.882095290342
		6. : 0.944507821076
		7. : 0.974612169281
		8. : 1.
		9. : 1.
		10. : 1.
semimcfvlb	0	
		1. : 0.219384264625
		2. : 0.489541249939
		3. : 0.64872522506
		4. : 0.811262540444
		5. : 0.912851250128
		6. : 0.964486381208
		7. : 0.989455795454
		8. : 0.989960842856
		9. : 1.
		10. : 1.
semimcfvlb	1	
		1. : 0.235214247094
		2. : 0.464011575787
		3. : 0.650380668932
		4. : 0.832988428113
		5. : 0.933061068608
		6. : 0.990948789346
		7. : 0.999227662016
		8. : 1.
		9. : 1.
		10. : 1.
semimcfvlb	2	
		1. : 0.187349992734
		2. : 0.455555136059
		3. : 0.605456364243
		4. : 0.806986212813
		5. : 0.912845482246
		6. : 0.956951037556
		7. : 0.988424301328
		8. : 0.989104888132
		9. : 1.
		10. : 1.
semimcfvlb	3	
		1. : 0.203134153034
		2. : 0.482744132506
		3. : 0.622422381923
		4. : 0.806422042983
		5. : 0.912325451728
		6. : 0.958103104638
		7. : 0.987901312706
		8. : 0.988607936691
		9. : 1.
		10. : 1.
semimcfvlb	4	
		1. : 0.227878078012
		2. : 0.498829512646
		3. : 0.64152202468
		4. : 0.806236248049
		5. : 0.901360184426
		6. : 0.955385173062
		7. : 0.988581925701
		8. : 0.989258302631
		9. : 1.
		10. : 1.
semimcfvlb	5	
		1. : 0.217005044316
		2. : 0.489232200975
		3. : 0.640038598977
		4. : 0.798451023886
		5. : 0.911265146871
		6. : 0.952795807244
		7. : 0.989664654152
		8. : 0.989917672124
		9. : 1.
		10. : 1.
semimcfvlb	6	
		1. : 0.230412873456
		2. : 0.485659692655
		3. : 0.683419738158
		4. : 0.800301082792
		5. : 0.873333293532
		6. : 0.981953558046
		7. : 0.99068451078
		8. : 1.
		9. : 1.
		10. : 1.
semimcfvlb	7	
		1. : 0.23930197673
		2. : 0.469392512238
		3. : 0.648332557379
		4. : 0.791489355163
		5. : 0.91681239513
		6. : 0.962520466867
		7. : 0.979522609671
		8. : 0.989823521016
		9. : 1.
		10. : 1.
semimcfvlb	8	
		1. : 0.218512760318
		2. : 0.438672372447
		3. : 0.676191135077
		4. : 0.803862107244
		5. : 0.904455248013
		6. : 0.978597497495
		7. : 1.
		8. : 1.
		9. : 1.
		10. : 1.
semimcfvlb	9	
		1. : 0.225914494207
		2. : 0.493613893756
		3. : 0.626866981936
		4. : 0.81206521286
		5. : 0.892495056586
		6. : 0.953322336393
		7. : 0.990018469462
		8. : 0.990253279739
		9. : 1.
		10. : 1.
spf	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
spf	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801686249811
		4. : 0.951612175575
		5. : 1.
spf	2	
		1. : 0.264411835017
		2. : 0.600398154146
		3. : 0.804752141086
		4. : 0.953786513135
		5. : 1.
spf	3	
		1. : 0.273336133824
		2. : 0.613374627144
		3. : 0.803560486548
		4. : 0.951791009819
		5. : 1.
spf	4	
		1. : 0.273763702931
		2. : 0.616219800345
		3. : 0.805203391502
		4. : 0.952024716991
		5. : 1.
spf	5	
		1. : 0.269297874263
		2. : 0.610729308371
		3. : 0.811685866074
		4. : 0.953086559005
		5. : 1.
spf	6	
		1. : 0.268067963625
		2. : 0.613706615915
		3. : 0.814636774305
		4. : 0.959275050759
		5. : 1.
spf	7	
		1. : 0.266514081632
		2. : 0.606517723808
		3. : 0.809879395447
		4. : 0.957596604944
		5. : 1.
spf	8	
		1. : 0.263257978597
		2. : 0.599286000542
		3. : 0.810797751825
		4. : 0.959934955164
		5. : 1.
spf	9	
		1. : 0.272576327877
		2. : 0.609515800761
		3. : 0.803200707213
		4. : 0.952728814481
		5. : 1.
vlb	0	
		1. : 0.20560906599
		2. : 0.400259741224
		3. : 0.627360559621
		4. : 0.831954408347
		5. : 0.946533608172
		6. : 0.98984653176
		7. : 0.996039607471
		8. : 0.997798362339
		9. : 1.
vlb	1	
		1. : 0.20506591403
		2. : 0.398134878634
		3. : 0.623945169377
		4. : 0.81752976644
		5. : 0.936095158223
		6. : 0.987204459588
		7. : 0.98880554129
		8. : 0.991052268327
		9. : 1.
vlb	2	
		1. : 0.198078533652
		2. : 0.385810649427
		3. : 0.627402104615
		4. : 0.845161150764
		5. : 0.946972733346
		6. : 0.981941709218
		7. : 0.989450657221
		8. : 0.995287488862
		9. : 1.
vlb	3	
		1. : 0.205662509586
		2. : 0.39692920508
		3. : 0.619723475395
		4. : 0.826664497088
		5. : 0.942825002785
		6. : 0.989345040223
		7. : 0.994827998414
		8. : 0.997495950461
		9. : 1.
vlb	4	
		1. : 0.205282990371
		2. : 0.395394348908
		3. : 0.62167957058
		4. : 0.830878170962
		5. : 0.941438609545
		6. : 0.990112020125
		7. : 0.995401943594
		8. : 0.997199242946
		9. : 1.
vlb	5	
		1. : 0.201857439793
		2. : 0.403595519944
		3. : 0.632790661284
		4. : 0.829061799692
		5. : 0.939239048738
		6. : 0.982221590194
		7. : 0.991266694141
		8. : 0.994894660729
		9. : 0.996703731085
		10. : 1.
vlb	6	
		1. : 0.206996259751
		2. : 0.411603333483
		3. : 0.646995582044
		4. : 0.844859822239
		5. : 0.953284712207
		6. : 0.991795709998
		7. : 0.992378706925
		8. : 0.995448703668
		9. : 0.999973048725
		10. : 1.
vlb	7	
		1. : 0.200436595228
		2. : 0.388915551158
		3. : 0.61750257264
		4. : 0.812446909481
		5. : 0.927564003881
		6. : 0.988516555747
		7. : 0.993900863727
		8. : 0.995834205063
		9. : 0.999913298597
		10. : 1.
vlb	8	
		1. : 0.198414423874
		2. : 0.390105539275
		3. : 0.62933303687
		4. : 0.838575418794
		5. : 0.948905349224
		6. : 0.987624883589
		7. : 0.988855425432
		8. : 0.990790516271
		9. : 0.996254491132
		10. : 1.
vlb	9	
		1. : 0.204794650813
		2. : 0.397613761497
		3. : 0.621945214772
		4. : 0.825687225105
		5. : 0.941978129126
		6. : 0.987976293722
		7. : 0.991390801212
		8. : 0.99634560041
		9. : 0.999910606483
		10. : 1.

