#solver	iter	latency-throughput
		3. : 0.443443827805
		4. : 0.502170858618
		5. : 0.570517388513
		6. : 0.669499192067
		7. : 0.746873219016
		8. : 0.769434663847
		9. : 0.953353680316
mcf	11	
		1. : 0.124388700347
		2. : 0.193061477399
		3. : 0.441179798132
		4. : 0.499289112739
		5. : 0.564682471972
		6. : 0.66278143902
		7. : 0.742163325802
		8. : 0.769006549377
		9. : 0.946114403943
mcf	12	
		1. : 0.123423270463
		2. : 0.195519603685
		3. : 0.443435996161
		4. : 0.499685777427
		5. : 0.567797425216
		6. : 0.666839295933
		7. : 0.743621676849
		8. : 0.770052420795
		9. : 0.91816806953
mcf	13	
		1. : 0.122469935264
		2. : 0.193307864178
		3. : 0.443429703084
		4. : 0.502171101698
		5. : 0.57720706636
		6. : 0.674093224833
		7. : 0.744753532605
		8. : 0.768434186678
		9. : 0.907408479221
mcf	14	
		1. : 0.121727399364
		2. : 0.196303546078
		3. : 0.446070305386
		4. : 0.502475987799
		5. : 0.578964360541
		6. : 0.675923042071
		7. : 0.745461841304
		8. : 0.76985575154
		9. : 0.904045812841
mcf	15	
		1. : 0.124526397587
		2. : 0.199109518802
		3. : 0.445762706298
		4. : 0.505129196437
		5. : 0.576189343459
		6. : 0.672323985602
		7. : 0.74656438508
		8. : 0.771212281912
		9. : 0.950610621009
		10. : 0.95158017958
mcf	16	
		1. : 0.124194566201
		2. : 0.197253041812
		3. : 0.445225078957
		4. : 0.500569049042
		5. : 0.572275555693
		6. : 0.669105605308
		7. : 0.744272732437
		8. : 0.769529660937
		9. : 0.95271483776
		10. : 0.953692631913
mcf	17	
		1. : 0.125224864417
		2. : 0.197498041685
		3. : 0.441168881837
		4. : 0.498466028121
		5. : 0.57109074879
		6. : 0.66757795311
		7. : 0.745053737109
		8. : 0.770496836554
		9. : 0.897283227466
mcf	18	
		1. : 0.123299666565
		2. : 0.193832477315
		3. : 0.443062393288
		4. : 0.50183144664
		5. : 0.574676854179
		6. : 0.668261357368
		7. : 0.738767586282
		8. : 0.763390874552
		9. : 0.885878158857
mcf	19	
		1. : 0.124483660219
		2. : 0.193429816319
		3. : 0.432004439789
		4. : 0.487719225109
		5. : 0.55508449551
		6. : 0.653831292275
		7. : 0.732108757966
		8. : 0.756908377354
		9. : 0.875438066558
mcf	20	
		1. : 0.121563141981
		2. : 0.192051252873
		3. : 0.43360449525
		4. : 0.491111840513
		5. : 0.564256355198
		6. : 0.658880712491
		7. : 0.730345574354
		8. : 0.754265012816
		9. : 0.867815403615
mcf	21	
		1. : 0.123933665455
		2. : 0.192917995927
		3. : 0.440465868242
		4. : 0.49798025644
		5. : 0.567715978023
		6. : 0.665999901094
		7. : 0.744092008678
		8. : 0.768666148925
		9. : 0.894853337281
mcf	22	
		1. : 0.123748022119
		2. : 0.192262582325
		3. : 0.431107098956
		4. : 0.489974933982
		5. : 0.555743764709
		6. : 0.655427212099
		7. : 0.736219436252
		8. : 0.759556124397
		9. : 0.87083874225
		10. : 0.871816225526
mcf	23	
		1. : 0.1246269996
		2. : 0.19410302423
		3. : 0.438389941256
		4. : 0.495474914737
		5. : 0.56272823229
		6. : 0.663059685719
		7. : 0.741663282787
		8. : 0.765793625902
		9. : 0.867468638684
raeke	0	
		1. : 0.133485755313
		2. : 0.425145983829
		3. : 0.663778416606
		4. : 0.816468571005
		5. : 0.956412014041
		6. : 0.990299173973
		7. : 1.
raeke	1	
		1. : 0.133496731482
		2. : 0.424436081922
		3. : 0.662053475145
		4. : 0.815794464087
		5. : 0.956006966214
		6. : 0.990230103321
		7. : 1.
raeke	2	
		1. : 0.142372690354
		2. : 0.266354999525
		3. : 0.502793740881
		4. : 0.604002986986
		5. : 0.784667768196
		6. : 0.841714205037
		7. : 0.87714300761
		8. : 0.909263230906
		9. : 0.91049425459
		10. : 0.91060554764
		11. : 0.911834149665
raeke	3	
		1. : 0.1444755374
		2. : 0.267178192506
		3. : 0.526137617827
		4. : 0.615506083491
		5. : 0.837471957561
		6. : 0.904749060874
		7. : 0.937841303513
		8. : 0.981508608992
		9. : 0.982978144413
		10. : 0.98490727563
		11. : 0.985119931796
raeke	4	
		1. : 0.144900981031
		2. : 0.266092704923
		3. : 0.544528627572
		4. : 0.637543855383
		5. : 0.853029572754
		6. : 0.914401811194
		7. : 0.950136000011
		8. : 0.971775095545
		9. : 0.996637249326
		10. : 0.997974142289
		11. : 0.999821709892
raeke	5	
		1. : 0.14035873049
		2. : 0.263198437921
		3. : 0.541639933969
		4. : 0.636999105789
		5. : 0.861050169048
		6. : 0.925018285986
		7. : 0.958037029073
		8. : 0.993502340117
		9. : 0.998313804601
		10. : 0.99993585919
		11. : 1.00028095383
raeke	6	
		1. : 0.139081702623
		2. : 0.261983251025
		3. : 0.536902664801
		4. : 0.638933732108
		5. : 0.861646891399
		6. : 0.924860512361
		7. : 0.959316803113
		8. : 0.995345124614
		9. : 0.997468523364
		10. : 0.999887485868
raeke	7	
		1. : 0.13837712405
		2. : 0.261939045593
		3. : 0.537069791866
		4. : 0.639064073189
		5. : 0.855840521437
		6. : 0.918120827198
		7. : 0.956950757122
		8. : 0.995801096288
		9. : 0.997483685028
		10. : 0.99996219802
raeke	8	
		1. : 0.136426933692
		2. : 0.26355170913
		3. : 0.545363272008
		4. : 0.638169136304
		5. : 0.869551069145
		6. : 0.933399780321
		7. : 0.963839691216
		8. : 0.996293247691
		9. : 0.998922998676
		10. : 1.00045603056
raeke	9	
		1. : 0.141076307415
		2. : 0.264245217881
		3. : 0.537954919292
		4. : 0.627838224998
		5. : 0.858334547089
		6. : 0.921174068436
		7. : 0.956235526094
		8. : 0.973239834155
		9. : 0.991332016383
		10. : 0.992336210325
		11. : 0.993553922226
raeke	10	
		1. : 0.141537745581
		2. : 0.263207025015
		3. : 0.528375176995
		4. : 0.61971474191
		5. : 0.837057578113
		6. : 0.905491858184
		7. : 0.93824380549
		8. : 0.977686596277
		9. : 0.98130881781
		10. : 0.984307162941
		11. : 0.98452246837
raeke	11	
		1. : 0.140099659975
		2. : 0.262382081866
		3. : 0.51811020658
		4. : 0.604848706486
		5. : 0.827657217955
		6. : 0.894106936589
		7. : 0.928818949794
		8. : 0.972656414561
		9. : 0.974136980415
		10. : 0.976362868073
raeke	12	
		1. : 0.138111391648
		2. : 0.258925615121
		3. : 0.500842646842
		4. : 0.603835173551
		5. : 0.792694830668
		6. : 0.858970668337
		7. : 0.894835073814
		8. : 0.940375694826
		9. : 0.941928655558
		10. : 0.944354743345
raeke	13	
		1. : 0.139440289522
		2. : 0.258722057064
		3. : 0.495077124817
		4. : 0.605334685813
		5. : 0.79681289652
		6. : 0.857992402879
		7. : 0.896793175329
		8. : 0.931198921662
		9. : 0.933184739383
		10. : 0.935281609952
raeke	14	
		1. : 0.141013931527
		2. : 0.265039331709
		3. : 0.506695486965
		4. : 0.608747996878
		5. : 0.792957490917
		6. : 0.857240537761
		7. : 0.890953751304
		8. : 0.926927220132
		9. : 0.928967699556
		10. : 0.931044237747
raeke	15	
		1. : 0.140086826378
		2. : 0.264176539497
		3. : 0.528968052991
		4. : 0.633563384621
		5. : 0.852521108054
		6. : 0.911492007904
		7. : 0.946011442459
		8. : 0.979610735338
		9. : 0.980547974749
		10. : 0.982426171738
raeke	16	
		1. : 0.141379759869
		2. : 0.263262384946
		3. : 0.527087755671
		4. : 0.63176896107
		5. : 0.849064226352
		6. : 0.9122760748
		7. : 0.947501964103
		8. : 0.982650393364
		9. : 0.983509622699
		10. : 0.985086201243
raeke	17	
		1. : 0.140994088214
		2. : 0.262403083051
		3. : 0.500641078556
		4. : 0.589745680393
		5. : 0.779030325101
		6. : 0.840269101392
		7. : 0.873181998253
		8. : 0.895411409548
		9. : 0.917469807598
		10. : 0.917842621757
		11. : 0.919696119489
raeke	18	
		1. : 0.141461268576
		2. : 0.261583101565
		3. : 0.487423687164
		4. : 0.591083857638
		5. : 0.759636459278
		6. : 0.822303661398
		7. : 0.858309052892
		8. : 0.901864528597
		9. : 0.907700630465
		10. : 0.909413471548
